0,1,2,3,4
"{'student_id': 11, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.7392715206558597, 'quiz_score': 0.7445138638572972, 'interactive_engagement': 0.1899901406150032, 'time_spent': 35.37756790846222}","{'student_id': 11, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.9553297743082169, 'quiz_score': 0.713222937114045, 'interactive_engagement': 0.5348892134991794, 'time_spent': 38.78439476192857}","{'student_id': 11, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.7954427588712577, 'quiz_score': 0.6331394019563783, 'interactive_engagement': 0.5221265374987706, 'time_spent': 52.55021082481102}","{'student_id': 11, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.920684772676221, 'quiz_score': 0.6868590659872803, 'interactive_engagement': 0.3865334181705975, 'time_spent': 31.24225720769235}","{'student_id': 11, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.7088729772536887, 'quiz_score': 0.6301180775396169, 'interactive_engagement': 0.3342742670223255, 'time_spent': 58.725247999961674}"
"{'student_id': 12, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.7083894318247774, 'quiz_score': 0.5015012592272314, 'interactive_engagement': 0.4223972129998528, 'time_spent': 40.6397248212377}","{'student_id': 12, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9626474069803937, 'quiz_score': 0.6528258128658062, 'interactive_engagement': 0.4249014854308337, 'time_spent': 46.97925779548364}","{'student_id': 12, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.952738206560815, 'quiz_score': 0.6424399191943134, 'interactive_engagement': 0.1857111021830691, 'time_spent': 30.960065858218368}","{'student_id': 12, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9259232491798893, 'quiz_score': 0.7100379922577826, 'interactive_engagement': 0.27590594256005746, 'time_spent': 48.08150362632975}","{'student_id': 12, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9997999308902504, 'quiz_score': 0.6614078022583825, 'interactive_engagement': 0.3862674591693527, 'time_spent': 42.91598106065272}"
"{'student_id': 13, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.33813485419201705, 'quiz_score': 0.8162058570342962, 'interactive_engagement': 0.35112455782521973, 'time_spent': 53.64160397391322}","{'student_id': 13, 'learning_type': 'Reading/Writing', 'resource_type': 'Interactive', 'video_engagement': 0.2605895174260359, 'quiz_score': 0.9215668219875344, 'interactive_engagement': 0.3062960520965174, 'time_spent': 56.353805537332455}","{'student_id': 13, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.502021630574184, 'quiz_score': 0.8924015213851257, 'interactive_engagement': 0.5111883083251277, 'time_spent': 51.436050095813115}","{'student_id': 13, 'learning_type': 'Reading/Writing', 'resource_type': 'Interactive', 'video_engagement': 0.5038463098648001, 'quiz_score': 0.829003701251035, 'interactive_engagement': 0.6111221855511131, 'time_spent': 58.732734886691084}","{'student_id': 13, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.43401107746950307, 'quiz_score': 0.7920147181803059, 'interactive_engagement': 0.4943773014402159, 'time_spent': 68.69736415392853}"
"{'student_id': 14, 'learning_type': 'Reading/Writing', 'resource_type': 'Video', 'video_engagement': 0.30720864643480456, 'quiz_score': 0.9400330162648285, 'interactive_engagement': 0.45339582172176834, 'time_spent': 69.71413417493594}","{'student_id': 14, 'learning_type': 'Reading/Writing', 'resource_type': 'Interactive', 'video_engagement': 0.35223698636827144, 'quiz_score': 0.8895273698040383, 'interactive_engagement': 0.46560220397300134, 'time_spent': 60.32378634470828}","{'student_id': 14, 'learning_type': 'Reading/Writing', 'resource_type': 'Text', 'video_engagement': 0.40956914962180185, 'quiz_score': 0.6817210307232375, 'interactive_engagement': 0.5076060979672867, 'time_spent': 65.58470263406981}","{'student_id': 14, 'learning_type': 'Reading/Writing', 'resource_type': 'Text', 'video_engagement': 0.21887910446199108, 'quiz_score': 0.7188294264208706, 'interactive_engagement': 0.4355152697140841, 'time_spent': 57.09126491580133}","{'student_id': 14, 'learning_type': 'Reading/Writing', 'resource_type': 'Interactive', 'video_engagement': 0.2014537952290126, 'quiz_score': 0.6502196990991554, 'interactive_engagement': 0.3531334449902871, 'time_spent': 59.32669473101141}"
"{'student_id': 15, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.8797840386304915, 'quiz_score': 0.5903241842685697, 'interactive_engagement': 0.3805895850657458, 'time_spent': 43.10990333961516}","{'student_id': 15, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.8257577974190835, 'quiz_score': 0.6939658276628692, 'interactive_engagement': 0.38337127056719694, 'time_spent': 43.668434460941455}","{'student_id': 15, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.9371832917932694, 'quiz_score': 0.7752812693246797, 'interactive_engagement': 0.4096861481526027, 'time_spent': 44.583261487839685}","{'student_id': 15, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9818382301758407, 'quiz_score': 0.5768478349362526, 'interactive_engagement': 0.39502491134481194, 'time_spent': 37.14060537216768}","{'student_id': 15, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.7328883551084084, 'quiz_score': 0.5476206573183787, 'interactive_engagement': 0.4120792669032676, 'time_spent': 45.74663535509552}"
"{'student_id': 16, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.5487403702335011, 'quiz_score': 0.8844746982382538, 'interactive_engagement': 0.41738511866072703, 'time_spent': 21.52881305710318}","{'student_id': 16, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.6192222464801312, 'quiz_score': 0.9229493655907003, 'interactive_engagement': 0.4223767731493189, 'time_spent': 39.41863369943576}","{'student_id': 16, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.3857307619039789, 'quiz_score': 0.9255050662325659, 'interactive_engagement': 0.43029191227739244, 'time_spent': 36.28770096130019}","{'student_id': 16, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.4010936640339513, 'quiz_score': 0.7974660804909902, 'interactive_engagement': 0.45944389652566836, 'time_spent': 30.152144988519648}","{'student_id': 16, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.39616254648145427, 'quiz_score': 0.7337678818421381, 'interactive_engagement': 0.5128357443231226, 'time_spent': 22.05791608916252}"
"{'student_id': 17, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.3454107201268424, 'quiz_score': 0.8893498040849876, 'interactive_engagement': 0.6225391987351024, 'time_spent': 33.817216667180254}","{'student_id': 17, 'learning_type': 'Auditory', 'resource_type': 'Interactive', 'video_engagement': 0.40324956808419815, 'quiz_score': 0.7405593521762455, 'interactive_engagement': 0.6825177699139077, 'time_spent': 22.643252677588176}","{'student_id': 17, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.4764058964672196, 'quiz_score': 0.8835937801553156, 'interactive_engagement': 0.5620981831087742, 'time_spent': 34.21600048571381}","{'student_id': 17, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.3750932015211581, 'quiz_score': 0.7486767757101719, 'interactive_engagement': 0.5061602886314119, 'time_spent': 29.179090848668352}","{'student_id': 17, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.41577034543967584, 'quiz_score': 0.8613771676695271, 'interactive_engagement': 0.6201267685571328, 'time_spent': 25.70981365054714}"
"{'student_id': 18, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.8667259703443418, 'quiz_score': 0.6633644342442326, 'interactive_engagement': 0.3594730740696841, 'time_spent': 54.20689005273823}","{'student_id': 18, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.9062277439141984, 'quiz_score': 0.7946772750917634, 'interactive_engagement': 0.40278795730830597, 'time_spent': 48.79568235165853}","{'student_id': 18, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9613428332821049, 'quiz_score': 0.522572188735161, 'interactive_engagement': 0.45998374440996614, 'time_spent': 39.575871345540826}","{'student_id': 18, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.807157529602045, 'quiz_score': 0.7483011388146161, 'interactive_engagement': 0.534726868585466, 'time_spent': 35.64175399992721}","{'student_id': 18, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.8276234044967713, 'quiz_score': 0.5960163865690268, 'interactive_engagement': 0.31327535159122544, 'time_spent': 53.14899155491413}"
"{'student_id': 19, 'learning_type': 'Kinesthetic', 'resource_type': 'Interactive', 'video_engagement': 0.1509361748454699, 'quiz_score': 0.5934053094975565, 'interactive_engagement': 0.6508875345736979, 'time_spent': 42.64071846326026}","{'student_id': 19, 'learning_type': 'Kinesthetic', 'resource_type': 'Video', 'video_engagement': 0.1314893927618205, 'quiz_score': 0.44987816492540816, 'interactive_engagement': 1.003835123086799, 'time_spent': 69.38522397535546}","{'student_id': 19, 'learning_type': 'Kinesthetic', 'resource_type': 'Video', 'video_engagement': 0.21766996298782124, 'quiz_score': 0.45911112809242377, 'interactive_engagement': 0.9063555408642985, 'time_spent': 45.85344460177034}","{'student_id': 19, 'learning_type': 'Kinesthetic', 'resource_type': 'Video', 'video_engagement': 0.42342635532543543, 'quiz_score': 0.5282732925946643, 'interactive_engagement': 0.8478787875537418, 'time_spent': 58.14293931719924}","{'student_id': 19, 'learning_type': 'Kinesthetic', 'resource_type': 'Video', 'video_engagement': 0.11536594651272757, 'quiz_score': 0.6424942912887202, 'interactive_engagement': 0.6090088817176742, 'time_spent': 67.52523836554973}"
"{'student_id': 20, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9137688831606181, 'quiz_score': 0.7706262024984901, 'interactive_engagement': 0.33201928794950974, 'time_spent': 35.15344210248145}","{'student_id': 20, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9124081094675881, 'quiz_score': 0.6820128500929894, 'interactive_engagement': 0.3189102059372977, 'time_spent': 40.81541510866639}","{'student_id': 20, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.8164009201250788, 'quiz_score': 0.6561197156467462, 'interactive_engagement': 0.3740860577675945, 'time_spent': 33.677013754206975}","{'student_id': 20, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.821848539673763, 'quiz_score': 0.7299386508257317, 'interactive_engagement': 0.2814393770253457, 'time_spent': 47.416987956533525}","{'student_id': 20, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.803615417475108, 'quiz_score': 0.4847550669108782, 'interactive_engagement': 0.24834863418938047, 'time_spent': 51.24598000934441}"
"{'student_id': 21, 'learning_type': 'Kinesthetic', 'resource_type': 'Interactive', 'video_engagement': 0.2659659785794105, 'quiz_score': 0.6761681312288682, 'interactive_engagement': 0.6704022201471949, 'time_spent': 43.186610004010134}","{'student_id': 21, 'learning_type': 'Kinesthetic', 'resource_type': 'Interactive', 'video_engagement': 0.197824939941573, 'quiz_score': 0.7179190409522044, 'interactive_engagement': 0.8038865088190101, 'time_spent': 52.463893503995855}","{'student_id': 21, 'learning_type': 'Kinesthetic', 'resource_type': 'Interactive', 'video_engagement': 0.1704435474487853, 'quiz_score': 0.5287690952300572, 'interactive_engagement': 0.8873392138575718, 'time_spent': 52.54760977883675}","{'student_id': 21, 'learning_type': 'Kinesthetic', 'resource_type': 'Text', 'video_engagement': 0.1502384640353576, 'quiz_score': 0.48159224395300193, 'interactive_engagement': 0.8793089266987915, 'time_spent': 65.57426895894838}","{'student_id': 21, 'learning_type': 'Kinesthetic', 'resource_type': 'Interactive', 'video_engagement': 0.21482670323328754, 'quiz_score': 0.5723286785994683, 'interactive_engagement': 0.6847578442136972, 'time_spent': 75.6355379346671}"
"{'student_id': 22, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.8774819718601609, 'quiz_score': 0.7463078452757941, 'interactive_engagement': 0.17904601658472935, 'time_spent': 57.63723075483323}","{'student_id': 22, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.9773055853957863, 'quiz_score': 0.781622377330704, 'interactive_engagement': 0.2469307020622521, 'time_spent': 52.7662855651968}","{'student_id': 22, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.7616949982957623, 'quiz_score': 0.48582004694069153, 'interactive_engagement': 0.4377870868290524, 'time_spent': 38.13889582742956}","{'student_id': 22, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.9742376589277514, 'quiz_score': 0.555709445088274, 'interactive_engagement': 0.5102883971776798, 'time_spent': 59.52509843677683}","{'student_id': 22, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.963030892706778, 'quiz_score': 0.5703760893645936, 'interactive_engagement': 0.23009069643601712, 'time_spent': 46.242120656395066}"
"{'student_id': 23, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9071948046188818, 'quiz_score': 0.5646639825938171, 'interactive_engagement': 0.528601760971109, 'time_spent': 36.57871807890746}","{'student_id': 23, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.8631992813403649, 'quiz_score': 0.5418679257422615, 'interactive_engagement': 0.21458299485753812, 'time_spent': 42.913848301640286}","{'student_id': 23, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.8021039412551797, 'quiz_score': 0.7516391084108124, 'interactive_engagement': 0.24917843789337818, 'time_spent': 41.57490838637183}","{'student_id': 23, 'learning_type': 'Visual', 'resource_type': 'Interactive', 'video_engagement': 0.957360162166859, 'quiz_score': 0.685404036010572, 'interactive_engagement': 0.3062891238177511, 'time_spent': 35.7381621280921}","{'student_id': 23, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.9880114145553469, 'quiz_score': 0.54366457597753, 'interactive_engagement': 0.41073591625144695, 'time_spent': 48.81523069783501}"
"{'student_id': 24, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.8113829539221153, 'quiz_score': 0.696349054693498, 'interactive_engagement': 0.35985608036206046, 'time_spent': 43.59565334418269}","{'student_id': 24, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.9197135667625662, 'quiz_score': 0.7462075727958195, 'interactive_engagement': 0.27476555071079684, 'time_spent': 47.19541142093287}","{'student_id': 24, 'learning_type': 'Visual', 'resource_type': 'Text', 'video_engagement': 0.6561744756470584, 'quiz_score': 0.7739263919248405, 'interactive_engagement': 0.36910876523739017, 'time_spent': 52.69964114442846}","{'student_id': 24, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.8738355136859489, 'quiz_score': 0.7121559644294779, 'interactive_engagement': 0.28269473236580483, 'time_spent': 58.95666306205037}","{'student_id': 24, 'learning_type': 'Visual', 'resource_type': 'Video', 'video_engagement': 0.730419710710393, 'quiz_score': 0.4812365914173306, 'interactive_engagement': 0.33910306610017654, 'time_spent': 51.22905527419889}"
"{'student_id': 25, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.2791572095933654, 'quiz_score': 0.6993807079153116, 'interactive_engagement': 0.6603408272422174, 'time_spent': 35.99259715044812}","{'student_id': 25, 'learning_type': 'Auditory', 'resource_type': 'Video', 'video_engagement': 0.2934422747162706, 'quiz_score': 0.704424902177837, 'interactive_engagement': 0.6636344045732296, 'time_spent': 35.90615678925458}","{'student_id': 25, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.37239078650539686, 'quiz_score': 0.7907858896375188, 'interactive_engagement': 0.6478663772563149, 'time_spent': 37.80420623269512}","{'student_id': 25, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.4195443297318075, 'quiz_score': 0.7229302144586504, 'interactive_engagement': 0.47539234838296973, 'time_spent': 37.846231590643576}","{'student_id': 25, 'learning_type': 'Auditory', 'resource_type': 'Text', 'video_engagement': 0.5820138659581888, 'quiz_score': 0.9598881948941185, 'interactive_engagement': 0.6041717153076913, 'time_spent': 29.515518038869686}"
